"","x"
"801","30/11/1984 (morning)"
"802","02/12/1984 (evening)"
"803","04/12/1984 (morning)"
"804","05/12/1984 (evening)"
"805","07/12/1984 (morning)"
"806","08/12/1984 (evening)"
"807","10/12/1984 (morning)"
"808","11/12/1984 (evening)"
"809","13/12/1984 (morning)"
"810","14/12/1984 (evening)"
"811","16/12/1984 (morning)"
"812","17/12/1984 (evening)"
"813","19/12/1984 (morning)"
"814","21/12/1984 (evening)"
"815","22/12/1984 (morning)"
"816","24/12/1984 (evening)"
"817","25/12/1984 (morning)"
"818","27/12/1984 (evening)"
"819","28/12/1984 (morning)"
"820","30/12/1984 (evening)"
"821","31/12/1984 (morning)"
"822","02/01/1985 (evening)"
"823","04/01/1985 (morning)"
"824","05/01/1985 (evening)"
"825","07/01/1985 (morning)"
"826","08/01/1985 (evening)"
"827","10/01/1985 (morning)"
"828","11/01/1985 (evening)"
"829","13/01/1985 (morning)"
"830","14/01/1985 (evening)"
"831","16/01/1985 (morning)"
"832","18/01/1985 (evening)"
"833","19/01/1985 (morning)"
"834","21/01/1985 (evening)"
"835","22/01/1985 (morning)"
"836","24/01/1985 (evening)"
"837","25/01/1985 (morning)"
"838","27/01/1985 (evening)"
"839","28/01/1985 (morning)"
"840","30/01/1985 (evening)"
"841","31/01/1985 (morning)"
"842","02/02/1985 (evening)"
"843","04/02/1985 (morning)"
"844","05/02/1985 (evening)"
"845","07/02/1985 (morning)"
"846","08/02/1985 (evening)"
"847","10/02/1985 (morning)"
"848","11/02/1985 (evening)"
"849","13/02/1985 (morning)"
"850","15/02/1985 (evening)"
"851","16/02/1985 (morning)"
"852","18/02/1985 (evening)"
"853","19/02/1985 (morning)"
"854","21/02/1985 (evening)"
"855","22/02/1985 (morning)"
"856","24/02/1985 (evening)"
"857","25/02/1985 (morning)"
"858","27/02/1985 (evening)"
"859","28/02/1985 (morning)"
"860","02/03/1985 (evening)"
"861","04/03/1985 (morning)"
"862","05/03/1985 (evening)"
"863","07/03/1985 (morning)"
"864","08/03/1985 (evening)"
"865","10/03/1985 (morning)"
"866","11/03/1985 (evening)"
"867","13/03/1985 (morning)"
"868","14/03/1985 (evening)"
"869","16/03/1985 (morning)"
"870","18/03/1985 (evening)"
"871","19/03/1985 (morning)"
"872","21/03/1985 (evening)"
